Date,Open,High,Low,Close,Adj Close,Volume
2020-11-17,44095.8515625,44161.16015625,43699.21875,43952.7109375,43952.7109375,20900
2020-11-18,43978.578125,44215.48828125,43785.78125,44180.05078125,44180.05078125,18300
2020-11-19,43902.23828125,44230.0,43518.109375,43599.9609375,43599.9609375,24100
2020-11-20,43732.140625,44013.01953125,43453.75,43882.25,43882.25,17100
2020-11-23,44164.171875,44271.1484375,43747.21875,44077.1484375,44077.1484375,17800
2020-11-24,44341.19140625,44601.62890625,44247.12109375,44523.01953125,44523.01953125,17900
2020-11-25,44749.73046875,44825.37109375,43757.96875,43828.1015625,43828.1015625,19100
2020-11-26,43967.58984375,44361.78125,43582.3984375,44259.73828125,44259.73828125,14600
2020-11-27,44325.03125,44407.28125,43995.41015625,44149.71875,44149.71875,15700
2020-12-01,44435.828125,44730.7890625,44118.1015625,44655.44140625,44655.44140625,16000
2020-12-02,44729.51953125,44729.640625,44169.96875,44618.0390625,44618.0390625,16000
2020-12-03,44902.01953125,44953.01171875,44551.421875,44632.6484375,44632.6484375,30700
2020-12-04,44665.91015625,45148.28125,44665.91015625,45079.55078125,45079.55078125,27600
2020-12-07,45099.921875,45458.921875,45024.46875,45426.96875,45426.96875,18700
2020-12-08,45568.80078125,45742.23046875,45335.171875,45608.51171875,45608.51171875,18200
2020-12-09,45891.0390625,46164.1015625,45792.01171875,46103.5,46103.5,20700
2020-12-10,45999.421875,46043.96875,45685.87109375,45959.87890625,45959.87890625,12700
2020-12-11,46060.3203125,46309.62890625,45706.21875,46099.01171875,46099.01171875,26300
2020-12-14,46284.69921875,46373.33984375,45951.53125,46253.4609375,46253.4609375,18400
2020-12-15,46287.390625,46350.30078125,45841.671875,46263.171875,46263.171875,16400
2020-12-16,46573.30859375,46704.96875,46402.19921875,46666.4609375,46666.4609375,13100
2020-12-17,46774.3203125,46992.5703125,46627.6015625,46890.33984375,46890.33984375,17200
2020-12-18,47026.01953125,47026.01953125,46630.30859375,46960.69140625,46960.69140625,12800
2020-12-21,46932.1796875,47055.69140625,44923.078125,45553.9609375,45553.9609375,24400
2020-12-22,45529.609375,46080.1796875,45112.19140625,46006.69140625,46006.69140625,25100
2020-12-23,46072.30078125,46513.3203125,45899.1015625,46444.1796875,46444.1796875,10500
2020-12-24,46743.48828125,47053.3984375,46539.01953125,46973.5390625,46973.5390625,13700
2020-12-28,47153.58984375,47406.71875,47148.23828125,47353.75,47353.75,9600
2020-12-29,47466.62109375,47714.55078125,47361.8984375,47613.078125,47613.078125,12800
2020-12-30,47789.03125,47807.8515625,47358.359375,47746.21875,47746.21875,15600
2020-12-31,47753.109375,47896.96875,47602.12109375,47751.328125,47751.328125,13900
2021-01-04,48109.171875,48220.46875,47594.46875,48176.80078125,48176.80078125,13900
2021-01-05,48037.62890625,48486.23828125,47903.37890625,48437.78125,48437.78125,12200
2021-01-06,48616.66015625,48616.66015625,47864.140625,48174.05859375,48174.05859375,22500
2021-01-07,48524.359375,48558.33984375,48037.87109375,48093.3203125,48093.3203125,18400
2021-01-08,48464.91015625,48854.33984375,48365.578125,48782.51171875,48782.51171875,22200
2021-01-11,49252.30859375,49303.7890625,48956.37890625,49269.3203125,49269.3203125,21200
2021-01-12,49228.26171875,49569.140625,49079.5703125,49517.109375,49517.109375,12700
2021-01-13,49763.9296875,49795.19140625,49073.8515625,49492.3203125,49492.3203125,27200
2021-01-14,49432.828125,49663.578125,49182.37109375,49584.16015625,49584.16015625,24500
2021-01-15,49656.7109375,49656.7109375,48795.7890625,49034.671875,49034.671875,14700
2021-01-19,48900.30859375,49499.859375,48805.5390625,49398.2890625,49398.2890625,11000
2021-01-20,49508.7890625,49874.421875,49373.6796875,49792.12109375,49792.12109375,12200
2021-01-21,50096.5703125,50184.01171875,49398.859375,49624.76171875,49624.76171875,19300
2021-01-22,49594.94921875,49676.87890625,48832.078125,48878.5390625,48878.5390625,18400
2021-01-25,49253.6796875,49263.1484375,48274.921875,48347.58984375,48347.58984375,15500
2021-01-27,48385.28125,48387.25,47269.6015625,47409.9296875,47409.9296875,19600
2021-01-28,46834.5703125,47172.01953125,46518.48046875,46874.359375,46874.359375,25000
2021-01-29,47423.46875,47423.66015625,46160.4609375,46285.76953125,46285.76953125,14500
2021-02-01,46617.94921875,48764.3984375,46433.6484375,48600.609375,48600.609375,22000
2021-02-02,49193.26171875,50154.48046875,49193.26171875,49797.71875,49797.71875,28400
2021-02-03,50231.05859375,50526.390625,49515.87890625,50255.75,50255.75,22400
2021-02-04,50212.25,50687.51171875,49926.44921875,50614.2890625,50614.2890625,33600
2021-02-05,51031.390625,51073.26953125,50565.2890625,50731.62890625,50731.62890625,32200
2021-02-08,51146.671875,51523.37890625,51146.671875,51348.76953125,51348.76953125,20600
2021-02-09,51484.23046875,51835.859375,51193.9296875,51329.078125,51329.078125,21200
2021-02-10,51355.890625,51512.859375,50846.21875,51309.390625,51309.390625,16000
2021-02-11,51165.83984375,51592.44921875,51157.30859375,51531.51953125,51531.51953125,12100
2021-02-12,51614.76953125,51804.578125,51260.62109375,51544.30078125,51544.30078125,15100
2021-02-16,52400.03125,52516.76171875,51863.609375,52104.171875,52104.171875,0
